Query,Started,Ended,Billing Tier,Bytes
query/query01.sql,1643937604905,1643937621283,1,9207545856
query/query02.sql,1643937627498,1643937641625,1,34444673024
query/query03.sql,1643937649989,1643937654218,1,67060629504
query/query04.sql,1643937660363,1643937752087,1,235877171200
query/query05.sql,1643937777786,1643937788657,1,184711905280
query/query06.sql,1643937795083,1643937813982,1,67319627776
query/query07.sql,1643937825776,1643937833038,1,177120215040
query/query08.sql,1643937838483,1643937844244,1,66231205888
query/query09.sql,1643937849798,1643937857988,1,66009956352
query/query10.sql,1643937863665,1643937875050,1,79003910144
query/query11.sql,1643937881180,1643937924323,1,112045588480
query/query12.sql,1643937937695,1643937942833,1,17325621248
query/query13.sql,1643937949438,1643937957768,1,220235563008
query/query14.sql,1643937963429,1643938025976,1,158003625984
query/query15.sql,1643938036983,1643938053978,1,34693185536
query/query16.sql,1643938059689,1643938086628,1,81576067072
query/query17.sql,1643938101765,1643938127693,1,191316885504
query/query18.sql,1643938143808,1643938162088,1,104064876544
query/query19.sql,1643938174744,1643938184409,1,111354576896
query/query20.sql,1643938189830,1643938195899,1,34492907520
query/query21.sql,1643938201249,1643938206582,1,24754782208
query/query22.sql,1643938212780,1643938234300,1,24765267968
query/query23.sql,1643938243633,1643938436502,1,197348294656
query/query24.sql,1643938446895,1643938495946,1,117267496960
query/query25.sql,1643938503195,1643938544612,1,191375605760
query/query26.sql,1643938559601,1643938564446,1,91814363136
query/query27.sql,1643938569987,1643938579714,1,177120215040
query/query28.sql,1643938585212,1643938597648,1,88013275136
query/query29.sql,1643938607892,1643938648367,1,191317934080
query/query30.sql,1643938664280,1643938682233,1,3808428032
query/query31.sql,1643938695218,1643938707313,1,83427852288
query/query32.sql,1643938712572,1643938717601,1,34450964480
query/query33.sql,1643938722720,1643938737709,1,158095900672
query/query34.sql,1643938745307,1643938752365,1,111431122944
query/query35.sql,1643938758006,1643938776534,1,78879129600
query/query36.sql,1643938789125,1643938796203,1,111062024192
query/query37.sql,1643938801671,1643938806299,1,30043799552
query/query38.sql,1643938811805,1643938827846,1,78731280384
query/query39.sql,1643938834454,1643938860059,1,24747442176
query/query40.sql,1643938865322,1643938879569,1,60871933952
query/query41.sql,1643938887990,1643938889685,1,23068672
query/query42.sql,1643938895711,1643938899452,1,67058532352
query/query43.sql,1643938904583,1643938909740,1,66012053504
query/query44.sql,1643938915919,1643938929188,1,89059753984
query/query45.sql,1643938938535,1643938953505,1,23349690368
query/query46.sql,1643938961316,1643938972474,1,177553276928
query/query47.sql,1643938978644,1643939020467,1,89061851136
query/query48.sql,1643939034921,1643939043204,1,154225606656
query/query49.sql,1643939048930,1643939070025,1,253464936448
query/query50.sql,1643939079945,1643939099321,1,121146179584
query/query51.sql,1643939110821,1643939141109,1,84325433344
query/query52.sql,1643939153045,1643939157163,1,67060629504
query/query53.sql,1643939163134,1643939215026,1,89067094016
query/query54.sql,1643939236784,1643939251921,1,118097969152
query/query55.sql,1643939259400,1643939264043,1,67060629504
query/query56.sql,1643939269682,1643939289967,1,158097997824
query/query57.sql,1643939300518,1643939318937,1,45919240192
query/query58.sql,1643939331398,1643939341919,1,118778494976
query/query59.sql,1643939348778,1643939373414,1,66012053504
query/query60.sql,1643939379628,1643939392357,1,158099046400
query/query61.sql,1643939402244,1643939411333,1,133349507072
query/query62.sql,1643939417189,1643939421032,1,28794945536
query/query63.sql,1643939426074,1643939430653,1,89067094016
query/query64.sql,1643939436352,1643939555767,1,311755276288
query/query65.sql,1643939579971,1643939601654,1,89094356992
query/query66.sql,1643939610784,1643939617129,1,120550588416
query/query67.sql,1643939622808,1643939651669,1,111076704256
query/query68.sql,1643939664856,1643939677273,1,199556595712
query/query69.sql,1643939687471,1643939696366,1,78887518208
query/query70.sql,1643939702464,1643939711162,1,66011004928
query/query71.sql,1643939716371,1643939723083,1,158008868864
query/query72.sql,1643939729049,1643939748512,1,118916907008
query/query73.sql,1643939759779,1643939764586,1,111431122944
query/query74.sql,1643939770031,1643939804960,1,83783319552
query/query75.sql,1643939812083,1643939831832,1,214195765248
query/query76.sql,1643939842862,1643939847410,1,157998383104
query/query77.sql,1643939853040,1643939860037,1,172589318144
query/query78.sql,1643939865850,1643939917710,1,284824698880
query/query79.sql,1643939939298,1643939946659,1,177345658880
query/query80.sql,1643939951977,1643939980963,1,292695310336
query/query81.sql,1643939993988,1643940008849,1,5844762624
query/query82.sql,1643940016511,1643940023956,1,41563455488
query/query83.sql,1643940029438,1643940039986,1,11869880320
query/query84.sql,1643940046842,1643940052654,1,3033530368
query/query85.sql,1643940058253,1643940069212,1,44970278912
query/query86.sql,1643940075680,1643940082123,1,17286823936
query/query87.sql,1643940088394,1643940114470,1,78731280384
query/query88.sql,1643940130786,1643940164279,1,66012053504
query/query89.sql,1643940173002,1643940182865,1,89064996864
query/query90.sql,1643940188373,1643940193422,1,17277386752
query/query91.sql,1643940198772,1643940205576,1,5056233472
query/query92.sql,1643940211696,1643940216933,1,17283678208
query/query93.sql,1643940223154,1643940254333,1,121144082432
query/query94.sql,1643940265345,1643940276477,1,40961572864
query/query95.sql,1643940282699,1643940462624,1,40961572864
query/query96.sql,1643940485580,1643940489132,1,66012053504
query/query97.sql,1643940494712,1643940533004,1,101491671040
query/query98.sql,1643940551354,1643940565106,1,67094183936
query/query99.sql,1643940574081,1643940580190,1,57313067008
